location,current
"{'name': 'Branchburg', 'region': 'New Jersey', 'country': 'USA United States of America', 'lat': 40.56, 'lon': -74.66, 'tz_id': 'America/New_York', 'localtime_epoch': 1609263646, 'localtime': '2020-12-29 12:40'}","{'last_updated_epoch': 1609263007, 'last_updated': '2020-12-29 12:30', 'temp_c': 3.9, 'temp_f': 39.0, 'is_day': 1, 'condition': {'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 15.0, 'wind_kph': 24.1, 'wind_degree': 320, 'wind_dir': 'NW', 'pressure_mb': 1030.0, 'pressure_in': 30.9, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 31, 'cloud': 25, 'feelslike_c': 0.4, 'feelslike_f': 32.7, 'vis_km': 16.0, 'vis_miles': 9.0, 'uv': 2.0, 'gust_mph': 13.4, 'gust_kph': 21.6}"
"{'name': 'Branchburg', 'region': 'New Jersey', 'country': 'USA United States of America', 'lat': 40.56, 'lon': -74.66, 'tz_id': 'America/New_York', 'localtime_epoch': 1609264302, 'localtime': '2020-12-29 12:51'}","{'last_updated_epoch': 1609263007, 'last_updated': '2020-12-29 12:30', 'temp_c': 3.9, 'temp_f': 39.0, 'is_day': 1, 'condition': {'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 15.0, 'wind_kph': 24.1, 'wind_degree': 320, 'wind_dir': 'NW', 'pressure_mb': 1030.0, 'pressure_in': 30.9, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 31, 'cloud': 25, 'feelslike_c': 0.4, 'feelslike_f': 32.7, 'vis_km': 16.0, 'vis_miles': 9.0, 'uv': 2.0, 'gust_mph': 13.4, 'gust_kph': 21.6}"
"{'name': 'Branchburg', 'region': 'New Jersey', 'country': 'USA United States of America', 'lat': 40.56, 'lon': -74.66, 'tz_id': 'America/New_York', 'localtime_epoch': 1609264343, 'localtime': '2020-12-29 12:52'}","{'last_updated_epoch': 1609263007, 'last_updated': '2020-12-29 12:30', 'temp_c': 3.9, 'temp_f': 39.0, 'is_day': 1, 'condition': {'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 15.0, 'wind_kph': 24.1, 'wind_degree': 320, 'wind_dir': 'NW', 'pressure_mb': 1030.0, 'pressure_in': 30.9, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 31, 'cloud': 25, 'feelslike_c': 0.4, 'feelslike_f': 32.7, 'vis_km': 16.0, 'vis_miles': 9.0, 'uv': 2.0, 'gust_mph': 13.4, 'gust_kph': 21.6}"
"{'name': 'Branchburg', 'region': 'New Jersey', 'country': 'USA United States of America', 'lat': 40.56, 'lon': -74.66, 'tz_id': 'America/New_York', 'localtime_epoch': 1609264846, 'localtime': '2020-12-29 13:00'}","{'last_updated_epoch': 1609263907, 'last_updated': '2020-12-29 12:45', 'temp_c': 3.9, 'temp_f': 39.0, 'is_day': 1, 'condition': {'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 15.0, 'wind_kph': 24.1, 'wind_degree': 320, 'wind_dir': 'NW', 'pressure_mb': 1030.0, 'pressure_in': 30.9, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 31, 'cloud': 25, 'feelslike_c': -0.2, 'feelslike_f': 31.6, 'vis_km': 16.0, 'vis_miles': 9.0, 'uv': 1.0, 'gust_mph': 15.4, 'gust_kph': 24.8}"
"{'name': 'Branchburg', 'region': 'New Jersey', 'country': 'USA United States of America', 'lat': 40.56, 'lon': -74.66, 'tz_id': 'America/New_York', 'localtime_epoch': 1609264846, 'localtime': '2020-12-29 13:00'}","{'last_updated_epoch': 1609263907, 'last_updated': '2020-12-29 12:45', 'temp_c': 3.9, 'temp_f': 39.0, 'is_day': 1, 'condition': {'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 15.0, 'wind_kph': 24.1, 'wind_degree': 320, 'wind_dir': 'NW', 'pressure_mb': 1030.0, 'pressure_in': 30.9, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 31, 'cloud': 25, 'feelslike_c': -0.2, 'feelslike_f': 31.6, 'vis_km': 16.0, 'vis_miles': 9.0, 'uv': 1.0, 'gust_mph': 15.4, 'gust_kph': 24.8}"
"{'name': 'Branchburg', 'region': 'New Jersey', 'country': 'USA United States of America', 'lat': 40.56, 'lon': -74.66, 'tz_id': 'America/New_York', 'localtime_epoch': 1609265701, 'localtime': '2020-12-29 13:15'}","{'last_updated_epoch': 1609264810, 'last_updated': '2020-12-29 13:00', 'temp_c': 3.9, 'temp_f': 39.0, 'is_day': 1, 'condition': {'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 15.0, 'wind_kph': 24.1, 'wind_degree': 320, 'wind_dir': 'NW', 'pressure_mb': 1030.0, 'pressure_in': 30.9, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 31, 'cloud': 25, 'feelslike_c': -0.2, 'feelslike_f': 31.6, 'vis_km': 16.0, 'vis_miles': 9.0, 'uv': 1.0, 'gust_mph': 15.4, 'gust_kph': 24.8}"
"{'name': 'Branchburg', 'region': 'New Jersey', 'country': 'USA United States of America', 'lat': 40.56, 'lon': -74.66, 'tz_id': 'America/New_York', 'localtime_epoch': 1609266602, 'localtime': '2020-12-29 13:30'}","{'last_updated_epoch': 1609265706, 'last_updated': '2020-12-29 13:15', 'temp_c': 3.3, 'temp_f': 37.9, 'is_day': 1, 'condition': {'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}, 'wind_mph': 16.1, 'wind_kph': 25.9, 'wind_degree': 330, 'wind_dir': 'NNW', 'pressure_mb': 1030.0, 'pressure_in': 30.9, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 32, 'cloud': 0, 'feelslike_c': -1.0, 'feelslike_f': 30.3, 'vis_km': 16.0, 'vis_miles': 9.0, 'uv': 1.0, 'gust_mph': 15.4, 'gust_kph': 24.8}"
"{'name': 'Branchburg', 'region': 'New Jersey', 'country': 'USA United States of America', 'lat': 40.56, 'lon': -74.66, 'tz_id': 'America/New_York', 'localtime_epoch': 1609267501, 'localtime': '2020-12-29 13:45'}","{'last_updated_epoch': 1609266608, 'last_updated': '2020-12-29 13:30', 'temp_c': 3.3, 'temp_f': 37.9, 'is_day': 1, 'condition': {'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}, 'wind_mph': 16.1, 'wind_kph': 25.9, 'wind_degree': 330, 'wind_dir': 'NNW', 'pressure_mb': 1030.0, 'pressure_in': 30.9, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 32, 'cloud': 0, 'feelslike_c': -1.0, 'feelslike_f': 30.3, 'vis_km': 16.0, 'vis_miles': 9.0, 'uv': 1.0, 'gust_mph': 15.4, 'gust_kph': 24.8}"
"{'name': 'Branchburg', 'region': 'New Jersey', 'country': 'USA United States of America', 'lat': 40.56, 'lon': -74.66, 'tz_id': 'America/New_York', 'localtime_epoch': 1609268401, 'localtime': '2020-12-29 14:00'}","{'last_updated_epoch': 1609267507, 'last_updated': '2020-12-29 13:45', 'temp_c': 3.3, 'temp_f': 37.9, 'is_day': 1, 'condition': {'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}, 'wind_mph': 16.1, 'wind_kph': 25.9, 'wind_degree': 330, 'wind_dir': 'NNW', 'pressure_mb': 1030.0, 'pressure_in': 30.9, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 32, 'cloud': 0, 'feelslike_c': -1.0, 'feelslike_f': 30.3, 'vis_km': 16.0, 'vis_miles': 9.0, 'uv': 1.0, 'gust_mph': 15.4, 'gust_kph': 24.8}"
"{'name': 'Branchburg', 'region': 'New Jersey', 'country': 'USA United States of America', 'lat': 40.56, 'lon': -74.66, 'tz_id': 'America/New_York', 'localtime_epoch': 1609269302, 'localtime': '2020-12-29 14:15'}","{'last_updated_epoch': 1609268410, 'last_updated': '2020-12-29 14:00', 'temp_c': 3.3, 'temp_f': 37.9, 'is_day': 1, 'condition': {'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}, 'wind_mph': 16.1, 'wind_kph': 25.9, 'wind_degree': 330, 'wind_dir': 'NNW', 'pressure_mb': 1030.0, 'pressure_in': 30.9, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 32, 'cloud': 0, 'feelslike_c': -1.4, 'feelslike_f': 29.5, 'vis_km': 16.0, 'vis_miles': 9.0, 'uv': 2.0, 'gust_mph': 17.2, 'gust_kph': 27.7}"
