location,current
"{'name': 'Tonbridge', 'region': 'Kent', 'country': 'United Kingdom', 'lat': 51.2, 'lon': 0.28, 'tz_id': 'Europe/London', 'localtime_epoch': 1609263646, 'localtime': '2020-12-29 17:40'}","{'last_updated_epoch': 1609263010, 'last_updated': '2020-12-29 17:30', 'temp_c': 2.0, 'temp_f': 35.6, 'is_day': 0, 'condition': {'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}, 'wind_mph': 9.4, 'wind_kph': 15.1, 'wind_degree': 350, 'wind_dir': 'N', 'pressure_mb': 994.0, 'pressure_in': 29.8, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 93, 'cloud': 100, 'feelslike_c': -0.8, 'feelslike_f': 30.6, 'vis_km': 10.0, 'vis_miles': 6.0, 'uv': 2.0, 'gust_mph': 7.8, 'gust_kph': 12.6}"
"{'name': 'Tonbridge', 'region': 'Kent', 'country': 'United Kingdom', 'lat': 51.2, 'lon': 0.28, 'tz_id': 'Europe/London', 'localtime_epoch': 1609264302, 'localtime': '2020-12-29 17:51'}","{'last_updated_epoch': 1609263010, 'last_updated': '2020-12-29 17:30', 'temp_c': 2.0, 'temp_f': 35.6, 'is_day': 0, 'condition': {'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}, 'wind_mph': 9.4, 'wind_kph': 15.1, 'wind_degree': 350, 'wind_dir': 'N', 'pressure_mb': 994.0, 'pressure_in': 29.8, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 93, 'cloud': 100, 'feelslike_c': -0.8, 'feelslike_f': 30.6, 'vis_km': 10.0, 'vis_miles': 6.0, 'uv': 2.0, 'gust_mph': 7.8, 'gust_kph': 12.6}"
"{'name': 'Tonbridge', 'region': 'Kent', 'country': 'United Kingdom', 'lat': 51.2, 'lon': 0.28, 'tz_id': 'Europe/London', 'localtime_epoch': 1609264343, 'localtime': '2020-12-29 17:52'}","{'last_updated_epoch': 1609263010, 'last_updated': '2020-12-29 17:30', 'temp_c': 2.0, 'temp_f': 35.6, 'is_day': 0, 'condition': {'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}, 'wind_mph': 9.4, 'wind_kph': 15.1, 'wind_degree': 350, 'wind_dir': 'N', 'pressure_mb': 994.0, 'pressure_in': 29.8, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 93, 'cloud': 100, 'feelslike_c': -0.8, 'feelslike_f': 30.6, 'vis_km': 10.0, 'vis_miles': 6.0, 'uv': 2.0, 'gust_mph': 7.8, 'gust_kph': 12.6}"
"{'name': 'Tonbridge', 'region': 'Kent', 'country': 'United Kingdom', 'lat': 51.2, 'lon': 0.28, 'tz_id': 'Europe/London', 'localtime_epoch': 1609264803, 'localtime': '2020-12-29 18:00'}","{'last_updated_epoch': 1609263910, 'last_updated': '2020-12-29 17:45', 'temp_c': 2.0, 'temp_f': 35.6, 'is_day': 0, 'condition': {'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}, 'wind_mph': 9.4, 'wind_kph': 15.1, 'wind_degree': 350, 'wind_dir': 'N', 'pressure_mb': 994.0, 'pressure_in': 29.8, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 93, 'cloud': 100, 'feelslike_c': -0.8, 'feelslike_f': 30.6, 'vis_km': 10.0, 'vis_miles': 6.0, 'uv': 2.0, 'gust_mph': 7.8, 'gust_kph': 12.6}"
"{'name': 'Tonbridge', 'region': 'Kent', 'country': 'United Kingdom', 'lat': 51.2, 'lon': 0.28, 'tz_id': 'Europe/London', 'localtime_epoch': 1609264803, 'localtime': '2020-12-29 18:00'}","{'last_updated_epoch': 1609263910, 'last_updated': '2020-12-29 17:45', 'temp_c': 2.0, 'temp_f': 35.6, 'is_day': 0, 'condition': {'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}, 'wind_mph': 9.4, 'wind_kph': 15.1, 'wind_degree': 350, 'wind_dir': 'N', 'pressure_mb': 994.0, 'pressure_in': 29.8, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 93, 'cloud': 100, 'feelslike_c': -0.8, 'feelslike_f': 30.6, 'vis_km': 10.0, 'vis_miles': 6.0, 'uv': 2.0, 'gust_mph': 7.8, 'gust_kph': 12.6}"
"{'name': 'Tonbridge', 'region': 'Kent', 'country': 'United Kingdom', 'lat': 51.2, 'lon': 0.28, 'tz_id': 'Europe/London', 'localtime_epoch': 1609265701, 'localtime': '2020-12-29 18:15'}","{'last_updated_epoch': 1609264814, 'last_updated': '2020-12-29 18:00', 'temp_c': 2.0, 'temp_f': 35.6, 'is_day': 0, 'condition': {'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}, 'wind_mph': 9.4, 'wind_kph': 15.1, 'wind_degree': 350, 'wind_dir': 'N', 'pressure_mb': 994.0, 'pressure_in': 29.8, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 93, 'cloud': 100, 'feelslike_c': -0.8, 'feelslike_f': 30.6, 'vis_km': 10.0, 'vis_miles': 6.0, 'uv': 2.0, 'gust_mph': 8.3, 'gust_kph': 13.3}"
"{'name': 'Tonbridge', 'region': 'Kent', 'country': 'United Kingdom', 'lat': 51.2, 'lon': 0.28, 'tz_id': 'Europe/London', 'localtime_epoch': 1609266602, 'localtime': '2020-12-29 18:30'}","{'last_updated_epoch': 1609265705, 'last_updated': '2020-12-29 18:15', 'temp_c': 3.0, 'temp_f': 37.4, 'is_day': 0, 'condition': {'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}, 'wind_mph': 6.9, 'wind_kph': 11.2, 'wind_degree': 340, 'wind_dir': 'NNW', 'pressure_mb': 994.0, 'pressure_in': 29.8, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 93, 'cloud': 100, 'feelslike_c': 0.4, 'feelslike_f': 32.8, 'vis_km': 10.0, 'vis_miles': 6.0, 'uv': 2.0, 'gust_mph': 8.3, 'gust_kph': 13.3}"
"{'name': 'Tonbridge', 'region': 'Kent', 'country': 'United Kingdom', 'lat': 51.2, 'lon': 0.28, 'tz_id': 'Europe/London', 'localtime_epoch': 1609267501, 'localtime': '2020-12-29 18:45'}","{'last_updated_epoch': 1609266611, 'last_updated': '2020-12-29 18:30', 'temp_c': 3.0, 'temp_f': 37.4, 'is_day': 0, 'condition': {'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}, 'wind_mph': 3.8, 'wind_kph': 6.1, 'wind_degree': 340, 'wind_dir': 'NNW', 'pressure_mb': 995.0, 'pressure_in': 29.8, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 93, 'cloud': 100, 'feelslike_c': 0.4, 'feelslike_f': 32.8, 'vis_km': 10.0, 'vis_miles': 6.0, 'uv': 2.0, 'gust_mph': 8.3, 'gust_kph': 13.3}"
"{'name': 'Tonbridge', 'region': 'Kent', 'country': 'United Kingdom', 'lat': 51.2, 'lon': 0.28, 'tz_id': 'Europe/London', 'localtime_epoch': 1609268401, 'localtime': '2020-12-29 19:00'}","{'last_updated_epoch': 1609267510, 'last_updated': '2020-12-29 18:45', 'temp_c': 3.0, 'temp_f': 37.4, 'is_day': 0, 'condition': {'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}, 'wind_mph': 3.8, 'wind_kph': 6.1, 'wind_degree': 340, 'wind_dir': 'NNW', 'pressure_mb': 995.0, 'pressure_in': 29.8, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 93, 'cloud': 100, 'feelslike_c': 0.3, 'feelslike_f': 32.5, 'vis_km': 10.0, 'vis_miles': 6.0, 'uv': 1.0, 'gust_mph': 9.4, 'gust_kph': 15.1}"
"{'name': 'Tonbridge', 'region': 'Kent', 'country': 'United Kingdom', 'lat': 51.2, 'lon': 0.28, 'tz_id': 'Europe/London', 'localtime_epoch': 1609269302, 'localtime': '2020-12-29 19:15'}","{'last_updated_epoch': 1609268414, 'last_updated': '2020-12-29 19:00', 'temp_c': 3.0, 'temp_f': 37.4, 'is_day': 0, 'condition': {'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}, 'wind_mph': 3.8, 'wind_kph': 6.1, 'wind_degree': 340, 'wind_dir': 'NNW', 'pressure_mb': 995.0, 'pressure_in': 29.8, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 93, 'cloud': 100, 'feelslike_c': 0.3, 'feelslike_f': 32.5, 'vis_km': 10.0, 'vis_miles': 6.0, 'uv': 1.0, 'gust_mph': 9.4, 'gust_kph': 15.1}"
