name,region,country,lat,lon,tz_id,localtime_epoch,localtime,utc_local_time,utc_last_updated,last_updated_epoch,last_updated,temp_c,temp_f,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,vis_km,vis_miles,uv,gust_mph,gust_kph
Branchburg,New Jersey,USA United States of America,40.56,-74.66,America/New_York,1609263646,2020-12-29 12:40,2020-12-29 17:40:46,2020-12-29 17:30:07,1609263007,2020-12-29 12:30,3.9,39.0,15.0,24.1,320,NW,1030.0,30.9,0.0,0.0,31,25,0.4,32.7,16.0,9.0,2.0,13.4,21.6
Branchburg,New Jersey,USA United States of America,40.56,-74.66,America/New_York,1609264302,2020-12-29 12:51,2020-12-29 17:51:42,2020-12-29 17:30:07,1609263007,2020-12-29 12:30,3.9,39.0,15.0,24.1,320,NW,1030.0,30.9,0.0,0.0,31,25,0.4,32.7,16.0,9.0,2.0,13.4,21.6
Branchburg,New Jersey,USA United States of America,40.56,-74.66,America/New_York,1609264343,2020-12-29 12:52,2020-12-29 17:52:23,2020-12-29 17:30:07,1609263007,2020-12-29 12:30,3.9,39.0,15.0,24.1,320,NW,1030.0,30.9,0.0,0.0,31,25,0.4,32.7,16.0,9.0,2.0,13.4,21.6
Branchburg,New Jersey,USA United States of America,40.56,-74.66,America/New_York,1609264846,2020-12-29 13:00,2020-12-29 18:00:46,2020-12-29 17:45:07,1609263907,2020-12-29 12:45,3.9,39.0,15.0,24.1,320,NW,1030.0,30.9,0.0,0.0,31,25,-0.2,31.6,16.0,9.0,1.0,15.4,24.8
Branchburg,New Jersey,USA United States of America,40.56,-74.66,America/New_York,1609264846,2020-12-29 13:00,2020-12-29 18:00:46,2020-12-29 17:45:07,1609263907,2020-12-29 12:45,3.9,39.0,15.0,24.1,320,NW,1030.0,30.9,0.0,0.0,31,25,-0.2,31.6,16.0,9.0,1.0,15.4,24.8
Branchburg,New Jersey,USA United States of America,40.56,-74.66,America/New_York,1609265701,2020-12-29 13:15,2020-12-29 18:15:01,2020-12-29 18:00:10,1609264810,2020-12-29 13:00,3.9,39.0,15.0,24.1,320,NW,1030.0,30.9,0.0,0.0,31,25,-0.2,31.6,16.0,9.0,1.0,15.4,24.8
Branchburg,New Jersey,USA United States of America,40.56,-74.66,America/New_York,1609266602,2020-12-29 13:30,2020-12-29 18:30:02,2020-12-29 18:15:06,1609265706,2020-12-29 13:15,3.3,37.9,16.1,25.9,330,NNW,1030.0,30.9,0.0,0.0,32,0,-1.0,30.3,16.0,9.0,1.0,15.4,24.8
Branchburg,New Jersey,USA United States of America,40.56,-74.66,America/New_York,1609267501,2020-12-29 13:45,2020-12-29 18:45:01,2020-12-29 18:30:08,1609266608,2020-12-29 13:30,3.3,37.9,16.1,25.9,330,NNW,1030.0,30.9,0.0,0.0,32,0,-1.0,30.3,16.0,9.0,1.0,15.4,24.8
Branchburg,New Jersey,USA United States of America,40.56,-74.66,America/New_York,1609268401,2020-12-29 14:00,2020-12-29 19:00:01,2020-12-29 18:45:07,1609267507,2020-12-29 13:45,3.3,37.9,16.1,25.9,330,NNW,1030.0,30.9,0.0,0.0,32,0,-1.0,30.3,16.0,9.0,1.0,15.4,24.8
Branchburg,New Jersey,USA United States of America,40.56,-74.66,America/New_York,1609269302,2020-12-29 14:15,2020-12-29 19:15:02,2020-12-29 19:00:10,1609268410,2020-12-29 14:00,3.3,37.9,16.1,25.9,330,NNW,1030.0,30.9,0.0,0.0,32,0,-1.4,29.5,16.0,9.0,2.0,17.2,27.7
