name,region,country,lat,lon,tz_id,localtime_epoch,localtime,utc_local_time,utc_last_updated,last_updated_epoch,last_updated,temp_c,temp_f,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,vis_km,vis_miles,uv,gust_mph,gust_kph
Greenwich,"Greenwich, Greater London",United Kingdom,51.48,0.01,Europe/London,1609263645,2020-12-29 17:40,2020-12-29 17:40:45,2020-12-29 17:30:10,1609263010,2020-12-29 17:30,3.0,37.4,5.6,9.0,330,NNW,994.0,29.8,0.0,0.0,87,100,0.7,33.3,10.0,6.0,1.0,6.5,10.4
Greenwich,"Greenwich, Greater London",United Kingdom,51.48,0.01,Europe/London,1609264302,2020-12-29 17:51,2020-12-29 17:51:42,2020-12-29 17:30:10,1609263010,2020-12-29 17:30,3.0,37.4,5.6,9.0,330,NNW,994.0,29.8,0.0,0.0,87,100,0.7,33.3,10.0,6.0,1.0,6.5,10.4
Greenwich,"Greenwich, Greater London",United Kingdom,51.48,0.01,Europe/London,1609264302,2020-12-29 17:51,2020-12-29 17:51:42,2020-12-29 17:30:10,1609263010,2020-12-29 17:30,3.0,37.4,5.6,9.0,330,NNW,994.0,29.8,0.0,0.0,87,100,0.7,33.3,10.0,6.0,1.0,6.5,10.4
Greenwich,"Greenwich, Greater London",United Kingdom,51.48,0.01,Europe/London,1609264803,2020-12-29 18:00,2020-12-29 18:00:03,2020-12-29 17:45:10,1609263910,2020-12-29 17:45,3.0,37.4,5.6,9.0,330,NNW,994.0,29.8,0.0,0.0,87,100,0.7,33.3,10.0,6.0,1.0,6.5,10.4
Greenwich,"Greenwich, Greater London",United Kingdom,51.48,0.01,Europe/London,1609264803,2020-12-29 18:00,2020-12-29 18:00:03,2020-12-29 17:45:10,1609263910,2020-12-29 17:45,3.0,37.4,5.6,9.0,330,NNW,994.0,29.8,0.0,0.0,87,100,0.7,33.3,10.0,6.0,1.0,6.5,10.4
Greenwich,"Greenwich, Greater London",United Kingdom,51.48,0.01,Europe/London,1609265701,2020-12-29 18:15,2020-12-29 18:15:01,2020-12-29 18:00:14,1609264814,2020-12-29 18:00,3.0,37.4,5.6,9.0,330,NNW,994.0,29.8,0.0,0.0,87,100,0.4,32.8,10.0,6.0,1.0,7.2,11.5
Greenwich,"Greenwich, Greater London",United Kingdom,51.48,0.01,Europe/London,1609266601,2020-12-29 18:30,2020-12-29 18:30:01,2020-12-29 18:15:06,1609265706,2020-12-29 18:15,3.0,37.4,4.3,6.8,310,NW,995.0,29.8,0.0,0.0,87,100,0.4,32.8,10.0,6.0,1.0,7.4,11.9
Greenwich,"Greenwich, Greater London",United Kingdom,51.48,0.01,Europe/London,1609267501,2020-12-29 18:45,2020-12-29 18:45:01,2020-12-29 18:30:11,1609266611,2020-12-29 18:30,4.0,39.2,0.0,0.0,309,NW,995.0,29.8,0.0,0.0,87,100,1.6,34.9,10.0,6.0,1.0,7.4,11.9
Greenwich,"Greenwich, Greater London",United Kingdom,51.48,0.01,Europe/London,1609268401,2020-12-29 19:00,2020-12-29 19:00:01,2020-12-29 18:45:10,1609267510,2020-12-29 18:45,4.0,39.2,0.0,0.0,309,NW,995.0,29.8,0.0,0.0,87,100,1.6,34.9,10.0,6.0,1.0,7.4,11.9
Greenwich,"Greenwich, Greater London",United Kingdom,51.48,0.01,Europe/London,1609269302,2020-12-29 19:15,2020-12-29 19:15:02,2020-12-29 19:00:14,1609268414,2020-12-29 19:00,4.0,39.2,0.0,0.0,316,NW,995.0,29.8,0.0,0.0,87,100,1.6,34.9,10.0,6.0,1.0,7.6,12.2
Greenwich,"Greenwich, Greater London",United Kingdom,51.48,0.01,Europe/London,1609270202,2020-12-29 19:30,2020-12-29 19:30:02,2020-12-29 19:15:05,1609269305,2020-12-29 19:15,4.0,39.2,4.3,6.8,310,NW,996.0,29.9,0.0,0.0,87,100,1.6,34.9,10.0,6.0,1.0,7.6,12.2
