name,region,country,lat,lon,tz_id,localtime_epoch,localtime,utc_local_time,utc_last_updated,last_updated_epoch,last_updated,temp_c,temp_f,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,vis_km,vis_miles,uv,gust_mph,gust_kph
Abu Dhabi,Abu Dhabi,United Arab Emirates,24.47,54.37,Asia/Dubai,1609263766,2020-12-29 21:42,2020-12-29 17:42:46,2020-12-29 17:30:08,1609263008,2020-12-29 21:30,21.0,69.8,2.5,4.0,10,N,1019.0,30.6,0.0,0.0,69,0,21.0,69.8,10.0,6.0,1.0,13.4,21.6
Abu Dhabi,Abu Dhabi,United Arab Emirates,24.47,54.37,Asia/Dubai,1609264302,2020-12-29 21:51,2020-12-29 17:51:42,2020-12-29 17:30:08,1609263008,2020-12-29 21:30,21.0,69.8,2.5,4.0,10,N,1019.0,30.6,0.0,0.0,69,0,21.0,69.8,10.0,6.0,1.0,13.4,21.6
Abu Dhabi,Abu Dhabi,United Arab Emirates,24.47,54.37,Asia/Dubai,1609264343,2020-12-29 21:52,2020-12-29 17:52:23,2020-12-29 17:30:08,1609263008,2020-12-29 21:30,21.0,69.8,2.5,4.0,10,N,1019.0,30.6,0.0,0.0,69,0,21.0,69.8,10.0,6.0,1.0,13.4,21.6
Abu Dhabi,Abu Dhabi,United Arab Emirates,24.47,54.37,Asia/Dubai,1609264804,2020-12-29 22:00,2020-12-29 18:00:04,2020-12-29 17:45:09,1609263909,2020-12-29 21:45,21.0,69.8,2.5,4.0,10,N,1019.0,30.6,0.0,0.0,69,0,21.0,69.8,10.0,6.0,1.0,13.4,21.6
Abu Dhabi,Abu Dhabi,United Arab Emirates,24.47,54.37,Asia/Dubai,1609264804,2020-12-29 22:00,2020-12-29 18:00:04,2020-12-29 17:45:09,1609263909,2020-12-29 21:45,21.0,69.8,2.5,4.0,10,N,1019.0,30.6,0.0,0.0,69,0,21.0,69.8,10.0,6.0,1.0,13.4,21.6
Abu Dhabi,Abu Dhabi,United Arab Emirates,24.47,54.37,Asia/Dubai,1609265702,2020-12-29 22:15,2020-12-29 18:15:02,2020-12-29 18:00:12,1609264812,2020-12-29 22:00,21.0,69.8,2.5,4.0,10,N,1019.0,30.6,0.0,0.0,69,0,21.0,69.8,10.0,6.0,1.0,13.0,20.9
Abu Dhabi,Abu Dhabi,United Arab Emirates,24.47,54.37,Asia/Dubai,1609266602,2020-12-29 22:30,2020-12-29 18:30:02,2020-12-29 18:15:07,1609265707,2020-12-29 22:15,20.0,68.0,4.3,6.8,40,NE,1018.0,30.5,0.0,0.0,68,0,20.0,68.0,10.0,6.0,1.0,13.0,20.9
Abu Dhabi,Abu Dhabi,United Arab Emirates,24.47,54.37,Asia/Dubai,1609267501,2020-12-29 22:45,2020-12-29 18:45:01,2020-12-29 18:30:09,1609266609,2020-12-29 22:30,20.0,68.0,4.3,6.8,40,NE,1018.0,30.5,0.0,0.0,68,0,20.0,68.0,10.0,6.0,1.0,13.0,20.9
Abu Dhabi,Abu Dhabi,United Arab Emirates,24.47,54.37,Asia/Dubai,1609268402,2020-12-29 23:00,2020-12-29 19:00:02,2020-12-29 18:45:09,1609267509,2020-12-29 22:45,20.0,68.0,4.3,6.8,40,NE,1018.0,30.5,0.0,0.0,68,0,20.0,68.0,10.0,6.0,1.0,13.0,20.9
Abu Dhabi,Abu Dhabi,United Arab Emirates,24.47,54.37,Asia/Dubai,1609269302,2020-12-29 23:15,2020-12-29 19:15:02,2020-12-29 19:00:12,1609268412,2020-12-29 23:00,20.0,68.0,4.3,6.8,40,NE,1018.0,30.5,0.0,0.0,68,0,20.0,68.0,10.0,6.0,1.0,13.4,21.6
