location,current
"{'name': 'Greenwich', 'region': 'Greenwich, Greater London', 'country': 'United Kingdom', 'lat': 51.48, 'lon': 0.01, 'tz_id': 'Europe/London', 'localtime_epoch': 1608641738, 'localtime': '2020-12-22 12:55'}","{'last_updated_epoch': 1608641110, 'last_updated': '2020-12-22 12:45', 'temp_c': 11.0, 'temp_f': 51.8, 'is_day': 1, 'condition': {'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 3.8, 'wind_kph': 6.1, 'wind_degree': 280, 'wind_dir': 'W', 'pressure_mb': 1013.0, 'pressure_in': 30.4, 'precip_mm': 0.1, 'precip_in': 0.0, 'humidity': 87, 'cloud': 75, 'feelslike_c': 10.8, 'feelslike_f': 51.4, 'vis_km': 10.0, 'vis_miles': 6.0, 'uv': 3.0, 'gust_mph': 5.1, 'gust_kph': 8.3}"
"{'name': 'Greenwich', 'region': 'Greenwich, Greater London', 'country': 'United Kingdom', 'lat': 51.48, 'lon': 0.01, 'tz_id': 'Europe/London', 'localtime_epoch': 1608641723, 'localtime': '2020-12-22 12:55'}","{'last_updated_epoch': 1608641110, 'last_updated': '2020-12-22 12:45', 'temp_c': 11.0, 'temp_f': 51.8, 'is_day': 1, 'condition': {'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 3.8, 'wind_kph': 6.1, 'wind_degree': 280, 'wind_dir': 'W', 'pressure_mb': 1013.0, 'pressure_in': 30.4, 'precip_mm': 0.1, 'precip_in': 0.0, 'humidity': 87, 'cloud': 75, 'feelslike_c': 10.8, 'feelslike_f': 51.4, 'vis_km': 10.0, 'vis_miles': 6.0, 'uv': 3.0, 'gust_mph': 5.1, 'gust_kph': 8.3}"
"{'name': 'Greenwich', 'region': 'Greenwich, Greater London', 'country': 'United Kingdom', 'lat': 51.48, 'lon': 0.01, 'tz_id': 'Europe/London', 'localtime_epoch': 1608641723, 'localtime': '2020-12-22 12:55'}","{'last_updated_epoch': 1608641110, 'last_updated': '2020-12-22 12:45', 'temp_c': 11.0, 'temp_f': 51.8, 'is_day': 1, 'condition': {'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 3.8, 'wind_kph': 6.1, 'wind_degree': 280, 'wind_dir': 'W', 'pressure_mb': 1013.0, 'pressure_in': 30.4, 'precip_mm': 0.1, 'precip_in': 0.0, 'humidity': 87, 'cloud': 75, 'feelslike_c': 10.8, 'feelslike_f': 51.4, 'vis_km': 10.0, 'vis_miles': 6.0, 'uv': 3.0, 'gust_mph': 5.1, 'gust_kph': 8.3}"
"{'code': 1006, 'message': 'No matching location found.'}"
"{'code': 1006, 'message': 'No matching location found.'}"
"{'name': 'Johannesburg', 'region': 'Commewijne', 'country': 'Suriname', 'lat': 5.9, 'lon': -55.05, 'tz_id': 'America/Paramaribo', 'localtime_epoch': 1608646483, 'localtime': '2020-12-22 11:14'}","{'last_updated_epoch': 1608645610, 'last_updated': '2020-12-22 11:00', 'temp_c': 28.0, 'temp_f': 82.4, 'is_day': 1, 'condition': {'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 6.9, 'wind_kph': 11.2, 'wind_degree': 40, 'wind_dir': 'NE', 'pressure_mb': 1012.0, 'pressure_in': 30.4, 'precip_mm': 0.7, 'precip_in': 0.03, 'humidity': 79, 'cloud': 50, 'feelslike_c': 34.3, 'feelslike_f': 93.7, 'vis_km': 10.0, 'vis_miles': 6.0, 'uv': 6.0, 'gust_mph': 6.9, 'gust_kph': 11.2}"
"{'name': 'Johannesburg', 'region': 'Gauteng', 'country': 'South Africa', 'lat': -26.2, 'lon': 28.08, 'tz_id': 'Africa/Johannesburg', 'localtime_epoch': 1608646537, 'localtime': '2020-12-22 16:15'}","{'last_updated_epoch': 1608645615, 'last_updated': '2020-12-22 16:00', 'temp_c': 25.0, 'temp_f': 77.0, 'is_day': 1, 'condition': {'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 16.1, 'wind_kph': 25.9, 'wind_degree': 350, 'wind_dir': 'N', 'pressure_mb': 1017.0, 'pressure_in': 30.5, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 61, 'cloud': 50, 'feelslike_c': 25.5, 'feelslike_f': 77.9, 'vis_km': 10.0, 'vis_miles': 6.0, 'uv': 6.0, 'gust_mph': 16.3, 'gust_kph': 26.3}"
"{'name': 'Johannesburg', 'region': 'Gauteng', 'country': 'South Africa', 'lat': -26.2, 'lon': 28.08, 'tz_id': 'Africa/Johannesburg', 'localtime_epoch': 1609161429, 'localtime': '2020-12-28 15:17'}","{'last_updated_epoch': 1609160415, 'last_updated': '2020-12-28 15:00', 'temp_c': 29.0, 'temp_f': 84.2, 'is_day': 1, 'condition': {'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}, 'wind_mph': 11.9, 'wind_kph': 19.1, 'wind_degree': 330, 'wind_dir': 'NNW', 'pressure_mb': 1019.0, 'pressure_in': 30.6, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 45, 'cloud': 0, 'feelslike_c': 28.4, 'feelslike_f': 83.0, 'vis_km': 10.0, 'vis_miles': 6.0, 'uv': 7.0, 'gust_mph': 7.6, 'gust_kph': 12.2}"
"{'name': 'Johannesburg', 'region': 'Gauteng', 'country': 'South Africa', 'lat': -26.2, 'lon': 28.08, 'tz_id': 'Africa/Johannesburg', 'localtime_epoch': 1609161834, 'localtime': '2020-12-28 15:23'}","{'last_updated_epoch': 1609161308, 'last_updated': '2020-12-28 15:15', 'temp_c': 29.0, 'temp_f': 84.2, 'is_day': 1, 'condition': {'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}, 'wind_mph': 13.6, 'wind_kph': 22.0, 'wind_degree': 350, 'wind_dir': 'N', 'pressure_mb': 1019.0, 'pressure_in': 30.6, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 45, 'cloud': 0, 'feelslike_c': 28.4, 'feelslike_f': 83.0, 'vis_km': 10.0, 'vis_miles': 6.0, 'uv': 7.0, 'gust_mph': 7.6, 'gust_kph': 12.2}"
"{'name': 'Johannesburg', 'region': 'Gauteng', 'country': 'South Africa', 'lat': -26.2, 'lon': 28.08, 'tz_id': 'Africa/Johannesburg', 'localtime_epoch': 1609161968, 'localtime': '2020-12-28 15:26'}","{'last_updated_epoch': 1609161308, 'last_updated': '2020-12-28 15:15', 'temp_c': 29.0, 'temp_f': 84.2, 'is_day': 1, 'condition': {'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}, 'wind_mph': 13.6, 'wind_kph': 22.0, 'wind_degree': 350, 'wind_dir': 'N', 'pressure_mb': 1019.0, 'pressure_in': 30.6, 'precip_mm': 0.0, 'precip_in': 0.0, 'humidity': 45, 'cloud': 0, 'feelslike_c': 28.4, 'feelslike_f': 83.0, 'vis_km': 10.0, 'vis_miles': 6.0, 'uv': 7.0, 'gust_mph': 7.6, 'gust_kph': 12.2}"
"{'name': 'Johannesburg', 'region': 'Gauteng', 'country': 'South Africa', 'lat': -26.2, 'lon': 28.08, 'tz_id': 'Africa/Johannesburg', 'localtime_epoch': 1609243168, 'localtime': '2020-12-29 13:59'}","{'last_updated_epoch': 1609242310, 'last_updated': '2020-12-29 13:45', 'temp_c': 27.0, 'temp_f': 80.6, 'is_day': 1, 'condition': {'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 0.0, 'wind_kph': 0.0, 'wind_degree': 341, 'wind_dir': 'NNW', 'pressure_mb': 1021.0, 'pressure_in': 30.6, 'precip_mm': 0.3, 'precip_in': 0.01, 'humidity': 51, 'cloud': 50, 'feelslike_c': 27.6, 'feelslike_f': 81.6, 'vis_km': 10.0, 'vis_miles': 6.0, 'uv': 7.0, 'gust_mph': 10.3, 'gust_kph': 16.6}"
"{'name': 'Johannesburg', 'region': 'Gauteng', 'country': 'South Africa', 'lat': -26.2, 'lon': 28.08, 'tz_id': 'Africa/Johannesburg', 'localtime_epoch': 1609243172, 'localtime': '2020-12-29 13:59'}","{'last_updated_epoch': 1609242310, 'last_updated': '2020-12-29 13:45', 'temp_c': 27.0, 'temp_f': 80.6, 'is_day': 1, 'condition': {'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 0.0, 'wind_kph': 0.0, 'wind_degree': 341, 'wind_dir': 'NNW', 'pressure_mb': 1021.0, 'pressure_in': 30.6, 'precip_mm': 0.3, 'precip_in': 0.01, 'humidity': 51, 'cloud': 50, 'feelslike_c': 27.6, 'feelslike_f': 81.6, 'vis_km': 10.0, 'vis_miles': 6.0, 'uv': 7.0, 'gust_mph': 10.3, 'gust_kph': 16.6}"
"{'name': 'Johannesburg', 'region': 'Gauteng', 'country': 'South Africa', 'lat': -26.2, 'lon': 28.08, 'tz_id': 'Africa/Johannesburg', 'localtime_epoch': 1609244358, 'localtime': '2020-12-29 14:19'}","{'last_updated_epoch': 1609243216, 'last_updated': '2020-12-29 14:00', 'temp_c': 27.0, 'temp_f': 80.6, 'is_day': 1, 'condition': {'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 0.0, 'wind_kph': 0.0, 'wind_degree': 337, 'wind_dir': 'NNW', 'pressure_mb': 1021.0, 'pressure_in': 30.6, 'precip_mm': 0.4, 'precip_in': 0.02, 'humidity': 51, 'cloud': 50, 'feelslike_c': 27.0, 'feelslike_f': 80.6, 'vis_km': 10.0, 'vis_miles': 6.0, 'uv': 6.0, 'gust_mph': 9.6, 'gust_kph': 15.5}"
"{'name': 'Johannesburg', 'region': 'Gauteng', 'country': 'South Africa', 'lat': -26.2, 'lon': 28.08, 'tz_id': 'Africa/Johannesburg', 'localtime_epoch': 1609244420, 'localtime': '2020-12-29 14:20'}","{'last_updated_epoch': 1609243216, 'last_updated': '2020-12-29 14:00', 'temp_c': 27.0, 'temp_f': 80.6, 'is_day': 1, 'condition': {'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 0.0, 'wind_kph': 0.0, 'wind_degree': 337, 'wind_dir': 'NNW', 'pressure_mb': 1021.0, 'pressure_in': 30.6, 'precip_mm': 0.4, 'precip_in': 0.02, 'humidity': 51, 'cloud': 50, 'feelslike_c': 27.0, 'feelslike_f': 80.6, 'vis_km': 10.0, 'vis_miles': 6.0, 'uv': 6.0, 'gust_mph': 9.6, 'gust_kph': 15.5}"
"{'name': 'Johannesburg', 'region': 'Gauteng', 'country': 'South Africa', 'lat': -26.2, 'lon': 28.08, 'tz_id': 'Africa/Johannesburg', 'localtime_epoch': 1609244420, 'localtime': '2020-12-29 14:20'}","{'last_updated_epoch': 1609243216, 'last_updated': '2020-12-29 14:00', 'temp_c': 27.0, 'temp_f': 80.6, 'is_day': 1, 'condition': {'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 0.0, 'wind_kph': 0.0, 'wind_degree': 337, 'wind_dir': 'NNW', 'pressure_mb': 1021.0, 'pressure_in': 30.6, 'precip_mm': 0.4, 'precip_in': 0.02, 'humidity': 51, 'cloud': 50, 'feelslike_c': 27.0, 'feelslike_f': 80.6, 'vis_km': 10.0, 'vis_miles': 6.0, 'uv': 6.0, 'gust_mph': 9.6, 'gust_kph': 15.5}"
"{'name': 'Johannesburg', 'region': 'Gauteng', 'country': 'South Africa', 'lat': -26.2, 'lon': 28.08, 'tz_id': 'Africa/Johannesburg', 'localtime_epoch': 1609244575, 'localtime': '2020-12-29 14:22'}","{'last_updated_epoch': 1609244107, 'last_updated': '2020-12-29 14:15', 'temp_c': 27.0, 'temp_f': 80.6, 'is_day': 1, 'condition': {'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 8.1, 'wind_kph': 13.0, 'wind_degree': 310, 'wind_dir': 'NW', 'pressure_mb': 1021.0, 'pressure_in': 30.6, 'precip_mm': 0.4, 'precip_in': 0.02, 'humidity': 48, 'cloud': 50, 'feelslike_c': 27.0, 'feelslike_f': 80.6, 'vis_km': 10.0, 'vis_miles': 6.0, 'uv': 6.0, 'gust_mph': 9.6, 'gust_kph': 15.5}"
"{'name': 'Johannesburg', 'region': 'Gauteng', 'country': 'South Africa', 'lat': -26.2, 'lon': 28.08, 'tz_id': 'Africa/Johannesburg', 'localtime_epoch': 1609244575, 'localtime': '2020-12-29 14:22'}","{'last_updated_epoch': 1609244107, 'last_updated': '2020-12-29 14:15', 'temp_c': 27.0, 'temp_f': 80.6, 'is_day': 1, 'condition': {'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 8.1, 'wind_kph': 13.0, 'wind_degree': 310, 'wind_dir': 'NW', 'pressure_mb': 1021.0, 'pressure_in': 30.6, 'precip_mm': 0.4, 'precip_in': 0.02, 'humidity': 48, 'cloud': 50, 'feelslike_c': 27.0, 'feelslike_f': 80.6, 'vis_km': 10.0, 'vis_miles': 6.0, 'uv': 6.0, 'gust_mph': 9.6, 'gust_kph': 15.5}"
"{'name': 'Johannesburg', 'region': 'Gauteng', 'country': 'South Africa', 'lat': -26.2, 'lon': 28.08, 'tz_id': 'Africa/Johannesburg', 'localtime_epoch': 1609244695, 'localtime': '2020-12-29 14:24'}","{'last_updated_epoch': 1609244107, 'last_updated': '2020-12-29 14:15', 'temp_c': 27.0, 'temp_f': 80.6, 'is_day': 1, 'condition': {'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 8.1, 'wind_kph': 13.0, 'wind_degree': 310, 'wind_dir': 'NW', 'pressure_mb': 1021.0, 'pressure_in': 30.6, 'precip_mm': 0.4, 'precip_in': 0.02, 'humidity': 48, 'cloud': 50, 'feelslike_c': 27.0, 'feelslike_f': 80.6, 'vis_km': 10.0, 'vis_miles': 6.0, 'uv': 6.0, 'gust_mph': 9.6, 'gust_kph': 15.5}"
"{'name': 'Johannesburg', 'region': 'Gauteng', 'country': 'South Africa', 'lat': -26.2, 'lon': 28.08, 'tz_id': 'Africa/Johannesburg', 'localtime_epoch': 1609244695, 'localtime': '2020-12-29 14:24'}","{'last_updated_epoch': 1609244107, 'last_updated': '2020-12-29 14:15', 'temp_c': 27.0, 'temp_f': 80.6, 'is_day': 1, 'condition': {'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}, 'wind_mph': 8.1, 'wind_kph': 13.0, 'wind_degree': 310, 'wind_dir': 'NW', 'pressure_mb': 1021.0, 'pressure_in': 30.6, 'precip_mm': 0.4, 'precip_in': 0.02, 'humidity': 48, 'cloud': 50, 'feelslike_c': 27.0, 'feelslike_f': 80.6, 'vis_km': 10.0, 'vis_miles': 6.0, 'uv': 6.0, 'gust_mph': 9.6, 'gust_kph': 15.5}"
